iter	RMSE
0	0.4813107662
1	0.4754772027
2	0.470074736
3	0.4650735508
4	0.4599889958
5	0.4552464444
6	0.4507412337
7	0.4465725033
8	0.4426640093
9	0.4383393877
10	0.4342871214
11	0.430687937
12	0.4270867001
13	0.4233971697
14	0.4201440653
15	0.4172670077
16	0.4139327189
17	0.4108005742
18	0.4076890546
19	0.40515513
20	0.4024644696
21	0.3994185564
22	0.3978491066
23	0.3957767291
24	0.3935272048
25	0.3916275937
26	0.3893973732
27	0.3874638775
28	0.3852511042
29	0.3839538794
30	0.3817543358
31	0.3803156023
32	0.3784638238
33	0.3766260356
34	0.3747835764
35	0.3732498983
36	0.3719196418
37	0.3700694506
38	0.3684322588
39	0.367204505
40	0.3661281405
41	0.3652429835
42	0.364573366
43	0.3630076682
44	0.361812878
45	0.3604757564
46	0.3589848707
47	0.3581632051
48	0.3567227839
49	0.3552556804
50	0.3541856115
51	0.3531219361
52	0.3527983451
53	0.3516251166
54	0.3509581762
55	0.3496818918
56	0.3486527315
57	0.347691691
58	0.3467259663
59	0.3459740951
60	0.3447693063
61	0.343787558
62	0.3428731803
63	0.3426748913
64	0.3425005048
65	0.3415144011
66	0.3406368287
67	0.3401439113
68	0.3392700196
69	0.3386042003
70	0.3378695739
71	0.3370753424
72	0.3363005128
73	0.335361659
74	0.334633186
75	0.3339465818
76	0.3332566272
77	0.3323497487
78	0.3318528616
79	0.3311521532
80	0.3306492011
81	0.3305726231
82	0.3303968999
83	0.3296688771
84	0.329045027
85	0.3286946264
86	0.3285905464
87	0.3279586454
88	0.3276297368
89	0.3270995819
90	0.3266904798
91	0.326467267
92	0.3263130456
93	0.3255225939
94	0.3249172314
95	0.3244143616
96	0.3239787342
97	0.3233867946
98	0.3233150532
99	0.3229652078
100	0.3224935485
101	0.3219948528
102	0.3213824563
103	0.3210128333
104	0.3206239298
105	0.3200010458
106	0.319581521
107	0.3188758622
108	0.3186278933
109	0.318286575
110	0.3179572009
111	0.3176439295
112	0.3172217401
113	0.3169230015
114	0.3167949713
115	0.3166097769
116	0.3165084678
117	0.3162464001
118	0.3157460192
119	0.3154891449
120	0.3150772163
121	0.3150644163
122	0.3149518293
123	0.3144851414
124	0.3139841089
125	0.3136775617
126	0.3134664545
127	0.3132253903
128	0.3128703488
129	0.3126874572
130	0.312340367
131	0.3119644771
132	0.3116768542
133	0.3113191985
134	0.3111878757
135	0.3108453527
136	0.3107289077
137	0.310684172
138	0.3105719773
139	0.3103477391
140	0.3103412637
141	0.3099473931
142	0.3096868621
143	0.3096543864
144	0.3091169568
145	0.3087070394
146	0.3084914656
147	0.30822191
148	0.3081527827
149	0.3079657826
150	0.3079610981
151	0.3075362553
152	0.3073495642
153	0.306986042
154	0.3069841301
155	0.3066123924
156	0.3060655062
157	0.3057254286
158	0.3055204206
159	0.305518675
160	0.3053444918
161	0.3049963144
162	0.3047008359
163	0.3044285675
164	0.3039295876
165	0.3037101981
166	0.3035370186
167	0.3033817424
168	0.3032879143
169	0.3031942874
170	0.3029798722
171	0.3027536512
172	0.3027036895
173	0.3026140552
174	0.3026130312
175	0.3023660547
176	0.3023161176
177	0.3022740367
178	0.3019471934
179	0.3017524439
180	0.3013099221
181	0.3009921787
182	0.3009589165
183	0.3007315702
184	0.3002433255
185	0.2999008979
186	0.2996452318
187	0.2995171602
188	0.2992725642
189	0.2989526348
190	0.2988440451
191	0.2987488938
192	0.2986491337
193	0.2983803768
194	0.2980152769
195	0.2976209533
196	0.2974129558
197	0.2972766357
198	0.2970410271
199	0.2968420197
200	0.296537188
201	0.2965170761
202	0.2963047881
203	0.2960601477
204	0.2959334457
205	0.2956935456
206	0.2955906441
207	0.2955614093
208	0.2954469521
209	0.2951289423
210	0.2950132908
211	0.2948759659
212	0.2944722512
213	0.2943034797
214	0.2941287392
215	0.2939672631
216	0.2939629758
217	0.2938074675
218	0.2935898897
219	0.2934531792
220	0.2933933009
221	0.2930355283
222	0.2926691672
223	0.2925384135
224	0.2923149021
225	0.2919695826
226	0.2918104247
227	0.2917642665
228	0.2915196279
229	0.2913004886
230	0.2911016349
231	0.2907519396
232	0.2903641296
233	0.2900553914
234	0.2898490208
235	0.2897194016
236	0.289597642
237	0.2895852862
238	0.2892027213
239	0.2889619586
240	0.2888415023
241	0.2888221176
242	0.2886530882
243	0.2884349031
244	0.2883101766
245	0.2882522504
246	0.2880435276
247	0.2880411831
248	0.287891533
249	0.2878900563
250	0.2876349875
251	0.2874780193
252	0.2874128608
253	0.2872028168
254	0.2870945844
255	0.2869026606
256	0.2865639642
257	0.2863095072
258	0.2860369796
259	0.2858845448
260	0.2857776608
261	0.2855937711
262	0.2855045425
263	0.285374039
264	0.2851824949
265	0.2850825164
266	0.284826083
267	0.2846731094
268	0.2846468808
269	0.2843176837
270	0.2842277678
271	0.2838268209
272	0.2835385317
273	0.2834030526
274	0.2831589635
275	0.2830962758
276	0.2827374043
277	0.2825187727
278	0.2823024367
279	0.2820966899
280	0.2818550335
281	0.2817313455
282	0.2814675347
283	0.2813129464
284	0.281233465
