iter	Passed	Remaining
0	0	583
1	1	927
2	2	806
3	2	731
4	3	697
5	4	714
6	4	708
7	5	707
8	6	673
9	6	689
10	7	701
11	8	713
12	9	699
13	10	704
14	10	690
15	10	669
16	11	678
17	12	687
18	13	692
19	14	692
20	14	687
21	15	693
22	15	676
23	16	666
24	17	671
25	17	665
26	18	670
27	19	669
28	20	673
29	20	665
30	21	670
31	21	661
32	22	661
33	23	661
34	24	665
35	24	666
36	25	672
37	26	682
38	28	698
39	29	701
40	29	694
41	30	688
42	30	678
43	31	681
44	32	685
45	33	687
46	34	691
47	34	686
48	35	688
49	36	691
50	37	693
51	38	696
52	38	688
53	39	692
54	40	689
55	41	693
56	41	694
57	42	697
58	43	699
59	44	701
60	45	702
61	46	704
62	47	705
63	47	698
64	48	691
65	49	694
66	49	695
67	50	693
68	53	715
69	54	718
70	55	720
71	55	720
72	56	721
73	57	721
74	58	721
75	59	722
76	60	722
77	61	723
78	61	722
79	62	722
80	63	722
81	63	716
82	64	712
83	65	712
84	66	718
85	67	719
86	68	714
87	68	714
88	69	712
89	70	712
90	71	711
91	71	708
92	72	705
93	73	704
94	73	704
95	74	703
96	75	703
97	76	702
98	76	698
99	77	697
100	78	697
101	79	700
102	80	703
103	81	704
104	82	704
105	83	704
106	84	704
107	85	703
108	86	703
109	86	701
110	87	701
111	88	700
112	89	700
113	89	699
114	90	697
115	91	696
116	92	695
117	93	697
118	94	697
119	95	698
120	96	698
121	96	693
122	96	691
123	97	690
124	98	690
125	99	690
126	100	688
127	101	688
128	101	687
129	102	687
130	103	686
131	104	686
132	105	689
133	106	691
134	107	690
135	108	690
136	109	688
137	109	685
138	110	683
139	111	682
140	111	678
141	112	678
142	113	678
143	113	674
144	114	674
145	115	673
146	116	673
147	116	672
148	117	670
149	120	680
150	120	677
151	121	676
152	122	679
153	123	678
154	123	674
155	124	673
156	125	672
157	125	671
158	126	670
159	127	667
160	127	666
161	128	664
162	129	663
163	130	663
164	131	663
165	132	664
166	133	664
167	134	663
168	134	661
169	135	660
170	136	659
171	136	658
172	137	656
173	138	655
174	138	651
175	139	651
176	139	649
177	140	646
178	140	645
179	141	644
180	142	643
181	142	642
182	143	641
183	144	640
184	145	640
185	146	639
186	147	639
187	147	638
188	148	637
189	149	636
190	150	635
191	150	634
192	151	633
193	152	632
194	153	631
195	153	631
196	154	630
197	155	629
198	156	628
199	157	628
200	157	627
201	158	626
202	159	626
203	160	625
204	161	624
205	161	623
206	162	622
207	162	619
208	163	618
209	164	617
210	165	617
211	165	616
212	166	615
213	167	614
214	168	613
215	168	612
216	169	610
217	170	610
218	171	609
219	171	609
220	172	608
221	173	607
222	174	606
223	174	606
224	175	605
225	176	604
226	177	603
227	177	602
228	178	601
229	179	600
230	180	599
231	180	598
232	181	597
233	182	597
234	183	597
235	184	597
236	185	596
237	185	594
238	186	593
239	187	593
240	188	592
241	188	590
242	189	589
243	189	588
244	190	587
245	191	586
246	191	585
247	192	583
248	193	582
249	193	579
250	194	579
251	194	578
252	195	577
253	196	576
254	197	576
255	198	576
256	199	575
257	199	575
258	200	574
259	201	573
260	202	572
261	202	571
262	203	570
263	204	570
264	205	569
265	205	568
266	206	567
267	207	566
268	207	564
269	208	564
270	209	563
271	210	562
272	211	562
273	211	561
274	212	561
275	213	560
276	214	559
277	215	558
278	215	557
279	216	557
280	217	556
281	218	555
282	219	554
283	219	554
284	220	553
285	221	552
286	222	551
287	222	551
288	223	550
289	224	550
290	225	549
291	226	549
292	227	548
293	228	547
294	228	547
295	229	546
296	230	545
297	231	544
298	231	543
299	232	543
300	233	542
301	234	542
302	235	542
303	236	541
304	237	541
305	238	540
306	238	539
307	239	538
308	240	537
309	241	537
310	242	536
311	242	535
312	243	534
313	244	533
314	245	533
315	245	532
316	247	532
317	248	533
318	249	533
319	250	532
320	251	531
321	252	530
322	252	530
323	253	529
324	254	528
325	255	527
326	256	526
327	256	526
328	257	525
329	258	524
330	259	523
331	259	522
332	260	522
