"Unnamed: 0","annotation_id","annotator","article","created_at","date","id","lead_time","sentiment","sentiment_label","text","updated_at"
890,29,"1","На Крымском мосту второй раз за ночь перекрыли движение","2024-04-14T09:59:56.893398Z","2023-07-29 00:00:00",1,18.716,"Negative","neutral","МОСКВА, 29 июл -- ПРАЙМ. Движение автотранспорта по Крымскому мосту перекрыто второй раз за ночь, сообщается в телеграм-канале об оперативной обстановке на мосту.Ранее движение временно закрывали в пятницу в 23.34 мск.""Движение автотранспорта по Крымскому мосту временно перекрыто. Находящихся на мосту и в зоне досмотра просим сохранять спокойствие и следовать указаниям сотрудников транспортной безопасности"", -- говорится в сообщении.Причины остановки движения не уточняются.Движение по мосту в последнюю неделю перекрывают каждый день, иногда по несколько раз.Крымский мост работает в реверсивном режиме после того, как 17 июля его атаковали два украинских надводных беспилотника. Повреждена автодорожная часть.","2024-04-14T09:59:56.893398Z"
896,30,"1","На Крымском мосту возобновили движение","2024-04-14T10:00:08.307445Z","2023-07-29 00:00:00",2,6.819,"Positive","neutral","МОСКВА, 29 июл -- ПРАЙМ. Движение автотранспорта по Крымскому мосту восстановлено, сообщается в телеграм-канале об оперативной обстановке на мосту.Движение временно закрывали второй раз за ночь в субботу в 03.04 мск. Всех находящихся на мосту и в зоне досмотра призвали сохранять спокойствие.""Движение автотранспорта по Крымскому мосту восстановлено"", -- говорится в сообщении.Киевские власти ночью 17 июля двумя надводными беспилотниками атаковали Крымский мост. СК России возбудил уголовное дело по статье ""Террористический акт"". Взрывом повредило автодорожную часть моста, пострадала девочка, а ее родители погибли. Движение поездов по мосту восстановили в тот же день, автотранспорта -- в реверсивном режиме только по крайней правой полосе направления Тамань-Керчь. Двустороннее движение по одной стороне моста планируется запустить 15 сентября, по второй -- к 1 ноября. Транспортный поток переориентирован на Керченскую паромную переправу и сухопутный коридор через новые регионы РФ.","2024-04-14T10:00:08.307445Z"
893,31,"1","На Крымском мосту восстановили движение автотранспорта","2024-04-14T10:03:45.621220Z","2023-07-29 00:00:00",3,11.998,"Positive","neutral","МОСКВА, 29 июл -- ПРАЙМ. Движение автотранспорта по Крымскому мосту восстановлено, сообщается в телеграм-канале об оперативной обстановке на мосту.Движение было временно закрыто в пятницу в 23.34 мск. Всех находящихся на мосту и в зоне досмотра призвали сохранять спокойствие.""Движение автотранспорта по Крымскому мосту восстановлено"", -- говорится в сообщении.Киевские власти ночью 17 июля двумя надводными беспилотниками атаковали Крымский мост. СК России возбудил уголовное дело по статье ""Террористический акт"". Взрывом повредило автодорожную часть моста, пострадала девочка, а ее родители погибли. Движение поездов по мосту восстановили в тот же день, автотранспорта -- в реверсивном режиме только по крайней правой полосе направления Тамань-Керчь. Двустороннее движение по одной стороне моста планируется запустить 15 сентября, по второй -- к 1 ноября. Транспортный поток переориентирован на Керченскую паромную переправу и сухопутный коридор через новые регионы РФ.","2024-04-14T10:03:45.621220Z"
52,32,"1","Йеллен усомнилась в способности G7 изъять активы России к лету","2024-04-14T10:04:01.636328Z","2024-03-01 00:00:00",4,13.16,"Negative","neutral","Investing.com — США и их союзники продолжат искать возможность конфискации $300 млрд замороженных активов России, но остается неясным, примут ли такое решение лидеры G7 на саммите в июне, заявила глава американского Минфина Джанет  в  агентству Reuters.По ее словам, любое действие с активами требует четких юридических обоснований и это стало «камнем преткновения» в кулуарах встречи министров финансов стран G20 в Бразилии на этой неделе. Йеллен рассказала о своем обращении к французскому коллеге Брюно Ле Мэру с просьбой помочь разработать возможные сценарии к саммиту G7. Ранее он исключал юридические основания для конфискации активов России.«Здесь возникают сложные юридические вопросы. Мы согласны с тем, что все, что мы делаем, должно иметь твердое международное юридическое обоснование, а также внутреннее обоснование, — сказала Йеллен. — Мы собираемся продолжать работать. Сотрудники [Ле Мэра] работают с нашими. Мы убедили его помочь нам придумать варианты, которые можно представить лидерам [стран G7]».Последнее слово о возможности конфискации российских активов останется за лидерами «Большой семерки», однако неясно, примут ли они его на саммите в июне, добавила Йеллен. Глава Минфина США назвала крайне важным избежать угроз для работы бельгийского депозитария Euroclear, где находится большая часть замороженных средств Москвы.Йеллен выразила убежденность в том, что юридическая теория «контрмер» дает «веские основания для изъятия российских активов».Ранее глава американского Минфина  возможность возникновения рисков для доллара при конфискации замороженных российских активов, но добавила, что считает их маловероятными.Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться .А мы дарим вам купон на дополнительную скидку 10% на двухгодовую подписку: RUTRADERS4EVER.Не забудьте ввести купон в специальное поле при ! и","2024-04-14T10:04:01.636328Z"
111,33,"1","Силуанов: Минфин намерен запустить обмен заблокированных активов в 2024 году","2024-04-14T10:04:18.495094Z","2024-02-26 00:00:00",5,10.489,"Positive","neutral","Investing.com — Министерство финансов подготовило проект, который определяет порядок обмена замороженными активами для россиян, запустить механизм обмена планируется в 2024 году,  глава Минфина Антон Силуанов.«Тема развивается, в этом году ее решим. Подготовили проекты порядка обмена этих активов, примем решение в ближайшее время», — сказал Силуанов в интервью агентству РИА Новости.Владимир Путин подписал указ об обмене активами с иностранцами в ноябре 2023 года. Согласно ему, заблокированные в России иностранные активы можно обменять на активы россиян, замороженные за границей, предельная стоимость для обмена — 100 000 рублей.Силуанов в сентябре 2023 года оценил общую сумму заблокированных более чем у 3,5 млн россиян активов в 1,5 трлн рублей,  Forbes. В конце января директор департамента инвестиционных финансовых посредников Банка России Ольга Шишлянникова заявила, что денег на счетах типа «С» иностранцев недостаточно для полного обмена замороженных активов. По ее словам, схема замороженных активов не решит все проблемы инвесторов, и ЦБ будет думать, что еще можно сделать.Для запуска механизма обмена ЦБ ждет решений от правительственной комиссии по контролю за осуществлением иностранных инвестиций, сообщала Шишлянникова. В этом решении будут указаны сроки прохождения обмена, а также организаторы торгов. По словам Шишлянниковой, ЦБ очень надеется на реализацию процедуры в 2024 году.Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться .А мы дарим вам купон на дополнительную скидку 10% на двухгодовую подписку: RUTRADERS4EVER.Не забудьте ввести купон в специальное поле при ! и","2024-04-14T10:04:18.495094Z"
808,34,"1","В Верховной раде раскрыли, из чего состоит половина бюджета Украины","2024-04-14T10:04:31.928691Z","2023-07-30 00:00:00",6,11.036,"Negative","neutral","МОСКВА, 30 июл -- ПРАЙМ. В этом году на финансирование бюджета Украины привлечено 25,3 миллиарда долларов внешней помощи от международных партнеров, что составило 49,1% от всех поступлений, сообщила председатель комитета по вопросам бюджета Верховной рады Роксолана Пидласа.""Международная бюджетная помощь с начала года составила 25,3 миллиарда долларов. Внешние ресурсы за первое полугодие составили 49,1% всех поступлений общего фонда государственного бюджета"", -- приводит слова Пидласы пресс-служба в телеграм-канале Рады.При этом доля общего объема государственного и гарантированного долга к началу года уже достигла 78,5% ВВП, отметила депутата. По ее данным, ""крупнейшим донором украинского бюджета"" остается ЕС, который в 2023 году уже предоставил 11,43 миллиарда долларов льготного кредита в рамках механизма макрофинансовой помощи. Кроме того, с начала года 3,59 миллиарда долларов поступило в бюджет от Международного валютного фонда и 1,76 миллиарда долларов от Канады.Для сравнения, в 2022 году международная бюджетная помощь в Украине составила 32,3 миллиарда долларов. Из них от США -- 11,99 миллиарда долларов, ЕС - 7,96 миллиарда долларов, Международного валютного фонда (МВФ) -- 2,69 миллиарда долларов, Канады -- 1,89 миллиарда долларов, резюмировала депутата.Ранее министр финансов Украины Сергей Марченко заявил, что дефицит украинского бюджета ежемесячно составляет около 5 миллиардов долларов, две трети средств бюджет получает благодаря иностранным займам и грантам, при этом три четверти бюджетных трат приходятся на военные нужды. Владимир Зеленский заявлял, что для восстановления Украины понадобится ""приблизительно"" 600-800 миллиардов долларов, точная сумма будет известна по завершению конфликта. В марте Всемирный банк совместно с Еврокомиссией, ООН и правительством Украины оценили потребности страны на восстановление и реконструкцию в 411 миллиардов долларов. Обновленная оценка значительно превысила сентябрьский прогноз в 349 миллиардов и теперь эквивалентна 2,6 ВВП Украины за 2022 год.","2024-04-14T10:04:31.928691Z"
15,35,"1","Госдума приняла закон о налоговых льготах для ИИС-3","2024-04-14T10:04:48.628561Z","2024-03-19 00:00:00",7,14.152,"Positive","neutral","Investing.com — Государственная дума приняла , регламентирующий порядок налоговых вычетов по инструментам долгосрочного инвестирования — индивидуальным инвестиционным счетам третьего типа (ИИС-3), счетам, открытым в рамках программы долгосрочных сбережений (ПДС), а также договоров негосударственного пенсионного обеспечения. Об этом  РБК.Комментируя решение Госдумы, в Банке России особо отметили, что действие закона будет распространяться и на ИИС-3, открытые до его принятия, то есть с 1 января 2024 года.По всем трем финансовым продуктам от уплаты НДФЛ освобождаются взносы на общую сумму до ₽400 тыс. в год. Максимальный размер вычета может составить от ₽52 тыс. до ₽60 тыс. ежегодно в зависимости от доходов инвестора.Также законопроектом предусмотрена трансформация старых ИИС в новые ИИС-3. Держатели ИИС типа А или Б получат право засчитывать срок их ведения при открытии ИИС нового типа (ИИС-3). При этом срок, доступный к зачету, составляет не более трех лет.Закон регламентирует и срок действия ИИС, который ранее был предметом споров между ведомствами и участниками рынка. Счет, открытый в течение первых трех лет действия программы (с 2024 по 2026 год), инвестору необходимо сохранять в течение пяти лет, после этого с каждым годом этот срок будет постепенно увеличиваться и вырастет до десяти лет.Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться .А мы дарим вам купон на дополнительную скидку 10% на двухгодовую подписку: RUTRADERS4EVER.Не забудьте ввести купон в специальное поле при ! и","2024-04-14T10:04:48.628561Z"
104,36,"1","Компании из Китая и Индии в 13-м пакете санкций: новости к утру 22 февраля","2024-04-14T10:05:02.052992Z","2024-02-22 00:00:00",8,10.987,"Negative","positive","Investing.com — FT узнала о включении компаний из Китая и Индии в 13-й пакет санкций против России, а «Кристалл» привлек в ходе IPO свыше 1 млрд рублей — эти и другие важные новости к утру четверга, 22 февраля, в нашем ежедневном обзоре.ЕС впервые включил в новый пакет санкций против России три компании из Китая и одну из Индии,  Financial Times со ссылкой на документы, попавшие в распоряжение издания. Кроме того, санкции будут направлены против организаций в Шри-Ланке, Турции, Таиланде, Сербии и Казахстане. Торговые ограничения планируют ввести после того, как будет установлена помощь этих компаний в поставке России оборудования, используемого для производства оружия, в том числе электроники и микрочипов, пишет FT.Калужский ликеро-водочный завод «Кристалл» привлек в ходе IPO на Мосбирже 1,15 млрд рублей,  Forbes со ссылкой на пресс-службу компании. Размещение акций прошло по верхней границе ценового диапазона — 9,5 рублей за бумагу. Акции компании начнут торговаться на бирже 22 февраля под тикером KLVZ. Всего было размещено 121 052 700 акций, уточняется в сообщении компании. Количество акций в свободном обращении составило 13,14% от акционерного капитала. Стоимость компании исходя из цены размещения — 7,75 млрд рублей (pre-money) или 8,75 млрд рублей (post-money).Инвесторы позитивно оценили квартальные прогнозы и отчетность . По итогам торгов на постмаркете  акции чипмейкера подскочили на 9,07%, до $735,95. В минувшем квартале NVIDIA  выручку на 265%, до $22,1 млрд. По сравнению с предыдущим кварталом рост составил 22%.В среду, 21 февраля, Министерство финансов провело два аукциона по размещению облигаций федерального займа (ОФЗ) с постоянным купоном (ПД),  РБК. Совокупный спрос составил 108,82 млрд руб., а общая сумма заимствований — 59,15 млрд руб. Средневзвешенная доходность по выпуску ОФЗ-ПД 26244 составила 12,55%. Прошлый рекорд был установлен в ноябре 2023 года.Страны ЕС договорились об исключении из санкционного списка против России одного из основателей  Аркадия Воложа,  Reuters со ссылкой на три источника, знакомых с вопросом. Волож — один из трех человек, которые будут исключены после 15 марта, когда санкции будут продлены, уточнили собеседники агентства. Бизнесмен не ответил Reuters на просьбу о комментарии.Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться .А мы дарим вам купон на дополнительную скидку 10% на двухгодовую подписку: RUTRADERS4EVER.Не забудьте ввести купон в специальное поле при ! и","2024-04-14T10:05:02.052992Z"
806,37,"1","МЧС подтвердило гибель восьми человек в палаточном лагере в Марий Эл","2024-04-14T10:05:14.824783Z","2023-07-30 00:00:00",9,9.901,"Negative","neutral","МОСКВА, 30 июл -- ПРАЙМ. Число погибших в результате удара стихии на месте палаточного лагеря на озере Яльчик в Марий Эл увеличилось до восьми, пострадали 29 человек, сообщили РИА Новости в пресс-службе МЧС России.""Спасатели МЧС России продолжают работы по ликвидации последствий стихии в Республике Марий Эл. В частности на месте палаточного лагеря на озере Яльчик и подъездных путей. К сожалению, число погибших выросло до восьми, пострадало 29 человек. В медицинские учреждения госпитализированы 16 человек"", -- сказано в сообщении.Ранее региональное управление МЧС РФ сообщило, что от урагана в Марий Эл 22 человека пострадали, еще семь погибли, включая детей.Также отмечается, что в результате прохождения опасных метеорологических явлений на территории Приволжья погибли десять человек, пострадали 76.После гибели восьми человек возбуждено уголовное дело по статье о предоставлении небезопасных услуг, приведших к смерти, сообщается в телеграм-канале Следственного комитета России.По данным СК РФ, на территории палаточного лагеря обнаружены тела 7 человек, из них трое малолетних детей. Еще один человек, находясь в тяжёлом состоянии, скончался в больнице.""Следственными органами СК РФ по Республике Марий Эл возбуждено уголовное дело по факту оказания руководством ФГБУ ""Национальный парк ""Марий Чодра"" услуг, не отвечающих требованиям безопасности жизни и здоровья потребителей, причинивших по неосторожности смерть двум и более лицам (часть 3 статья 238 УК РФ)"", -- сказано в сообщении.Председатель СК РФ Александр Бастрыкин поручил руководителю СУ СК России по Республике Марий Эл Евгению Тумандейкину доложить о ходе расследования уголовного дела.","2024-04-14T10:05:14.824783Z"
89,38,"1","Призыв Китая к ЕС отказаться от конфискации активов РФ: новости к утру 4 апреля","2024-04-14T10:05:28.458365Z","2024-04-04 00:00:00",10,10.229,"Positive","positive","Investing.com — Китай призвал ЕС отказаться от конфискации активов России, а Bloomberg узнал о домашней робототехнике Apple как возможной замене электромобилю — эти и другие важные новости к утру четверга, 4 апреля, в нашем ежедневном обзоре.Представители Китая, Саудовской Аравии и Индонезии в частном порядке просят ЕС отказаться от конфискации российских государственных активов на сумму более €200 млрд,  Politico со ссылкой на четырех неназванных чиновников. По словам одного из собеседников издания, эти страны боятся «создания прецедента»: «Иными словами, эти страны будут бояться, что они могут оказаться следующими, кто проиграет», — пишет Politico. может сделать приоритетом своих разработок домашнюю робототехнику после того, как компания свернула направление по созданию электромобилей. Об этом  Bloomberg со ссылкой на собеседников в компании. По их словам, команды Apple уже работают на автоматизированными домашними устройствами, включая проекты по созданию персональных роботов-помощников. Роботы для дома могут стать «следующим крупным проектом» компании, список которые постоянно меняется, сказали источники агентства.В феврале ВВП России вырос на 7,7% в годовом выражении после роста на 4,6% в январе,  из справки о текущей экономической ситуации, подготовленной Минэкономразвития. По данным ведомства, к 2022 году рост составил 4,7% и 2% в феврале и январе соответственно.Объем финансирования «дорожной карты» по созданию отечественного оборудования для СПГ-проектов, которая ляжет в основу соглашения о намерениях между правительством и , составит 24,3 млрд руб., сообщил Хаджимурат Саадулаев, начальник отдела развития нефтегазового оборудования Минпромторга. Об этом  РБК.Курс  вырос на 0,36% или 36 копеек, поднявшись до отметки 100,205 руб., свидетельствуют данные Московской биржи по состоянию на 07:01 МСК. Выше 100 руб. европейская валюта (EUR/RUB) торгуется впервые с начала апреля, в предыдущий раз так высоко курс евро поднимался 28 марта.Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться .А мы дарим вам купон на дополнительную скидку 10% на годовую подписку: RUTRADERS4EVER.Не забудьте ввести купон в специальное поле при ! и","2024-04-14T10:05:28.458365Z"
922,39,"1","Медведев назвал решение МУС выдать ордер на ""арест"" путина опасным для мира","2024-04-14T10:05:46.550557Z","2023-07-29 00:00:00",11,8.978,"Negative","negative","МОСКВА, 29 июл -- ПРАЙМ. Решение Международного уголовного суда (МУС) выдать ордер на ""арест"" президента России Владимира Путина неисмолнимо и опасно для мира, заявил замруководителя российского Совета безопасности Дмитрий Медведев.Досудебная палата МУС в марте выдала ордер на ""арест"" Путина и детского омбудсмена Марии Львовой-Беловой. По мнению суда, Москва якобы ""депортировала"" детей, которых российская сторона спасала от обстрелов ВСУ и доставляла в безопасные районы. Пресс-секретарь президента России Дмитрий Песков называл постановку вопроса МУС ""аресте"" главы государства неприемлемой, напомнив, что Россия не признает его юрисдикцию.Медведев написал в Telegram, что судьи ""убогого"" МУС продолжили попытки оправдать неисполнимое и опасное для мира решение выдать ордер на ""арест"" Путина.""Ордеры, прокуроры, процессы против России -- все это забавы наших врагов, которыми они развлекают себя от бессилия. И все же надо помнить -- это потенциально опасные игрища. И такого рода действия могут в какой-то момент действительно стать casus belli"", -- отметил он.По словам политика, решения этой инстанции для России ничтожны, пока она не присоединится к Римскому статуту МУС.""А этого не произойдет никогда"", -- подчеркнул Медведев.Юрисдикцию МУС не признают страны, на территории которых проживает более половины населения Земли. Среди них -- Россия, Азербайджан, Белоруссия, Египет, Индия, Индонезия, Иран, Казахстан, Китай, Саудовская Аравия, США, Турция.","2024-04-14T10:05:46.550557Z"
836,40,"1","Минфин объявил о переходе к покупкам валюты впервые с начала года","2024-04-14T10:06:40.419420Z","2023-08-03 00:00:00",12,34.585,"Positive","neutral","Investing.com — Минфин представил ежемесячный  по дополнительным нефтегазовым доходам бюджета. Как ожидает министерство, в августе они составят 73,2 млрд руб. Тем самым, совокупный объем средств, направляемых на покупку иностранной валюты и , составит 40,5 млрд руб. Это станет первой с января 2022 года покупкой валюты по бюджетному правилу,  «Коммерсантъ».Как отмечает федеральное ведомство, операции по покупке валюты на внутреннем рынке будут проводиться в период с 7 августа 2023 года по 6 сентября 2023 года. Ежедневный объем покупки юаней и золота составит 1,8 млрд руб.Также Минфин сообщил, что в июле текущего года бюджет получил на 32,7 млрд руб. меньше ожидаемого месячного объема нефтегазовых доходов. и","2024-04-14T10:06:40.419420Z"
28,41,"1","В госучреждениях Китая блокируют использование чипов Intel и AMD","2024-04-14T10:06:53.338072Z","2024-03-25 00:00:00",13,10.02,"Negative","neutral","Investing.com — Власти Китая ввели рекомендации по поэтапному отказу от американских чипов Intel (NASDAQ:) и AMD (NASDAQ:) на государственных персональных компьютерах и серверах, заменив операционную систему Microsoft (NASDAQ:) Windows и программное обеспечение баз данных иностранного производства в пользу отечественных вариантов,  Reuters.Все правительственные учреждения выше уровня поселка должны теперь использовать критерии, требующие безопасности и надежности процессоров и операционных систем. Еще ранее Министерство промышленности Китая опубликовало 3 отдельных списка процессоров, операционных систем и централизованной базы данных, отвечающих этим критериям, и все они принадлежат китайским компаниям.Между тем, американские власти также стремятся увеличить внутреннее производство полупроводников и уменьшить зависимость от Китая и Тайваня.Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться .А мы дарим вам купон на дополнительную скидку 10% на годовую подписку: PRO4EVERYONE.Не забудьте ввести купон в специальное поле при !","2024-04-14T10:06:53.338072Z"
948,42,"1","Совфед повысил доступность особых экономических зон для инвесторов","2024-04-14T10:07:14.688332Z","2023-07-29 00:00:00",14,18.494,"Positive","neutral","МОСКВА, 28 июл -- ПРАЙМ. Сенаторы одобрили закон, направленный на повышение доступности особых экономических зон (ОЭЗ) для потенциальных инвесторов и упрощение работы действующих резидентов.Документ сокращает административные барьеры для резидентов ОЭЗ, уточняет механизмы создания и основания их ликвидации, а также схемы управления ими.Для будущих резидентов ОЭЗ закон ускоряет процесс получения такого статуса и упрощает процедуру согласования. Так, при заявке на получение статуса резидента компании смогут заменить бизнес-план на его упрощенную форму -- паспорт инвестпроекта, где есть вся необходимая информация для принятия решения, пояснял ранее министр экономического развития РФ Максим Решетников.Одновременно закон вводит ограничения на участие иностранных инвесторов в управляющей компании ОЭЗ: доля такого инвестора в ее капитале не может превышать 25%, а сам он не должен иметь возможности определять принимаемые компанией решения, назначать ее руководителя и более 50% состава органов управления.Кроме того, допускается создание ОЭЗ на территории одного или нескольких муниципальных образований в пределах одного субъекта РФ.Закон также уточняет условия землепользования и вводит новую категорию резидентов ОЭЗ. Это компании, которые являются партнерами участников ОЭЗ. Если такие компании выпускают высокотехнологичную продукцию, то для них предусматриваются ""гораздо более льготные сроки вхождения"" в ОЭЗ.Закон должен вступить в силу с 1 сентября 2023 года, за исключением отдельных норм, которые начнут действовать с 1 января 2024 года.","2024-04-14T10:07:14.688332Z"
