,date,article,text,sentiment
908,2023-07-29 00:00:00,Компания из Ганы объявила о желании закупить 300 пикапов УАЗ,"МОСКВА, 29 июл -- ПРАЙМ. Компания из Ганы по итогам переговоров с УАЗ на саммите ""Россия-Африка"" готова закупить 300 пикапов и надеется получить их до конца года, кроме того, стороны договорились о сборке части компонентов для автомобилей в четырех регионах страны, заявил РИА Новости председатель ганско-российского совета по развитию бизнеса Лоуренс Ауку-Боатенг.""Мы готовы к закупке 300 пикапов и надеемся получить их до конца этого года"", -- сказал Ауку-Боатенг.""Мы договорились о сборке части компонентов (для автомобилей -- ред.) в Гане. Мы обсудили планы, согласно которым, сборка будет осуществляться в четырёх регионах страны"", -- добавил он.",neutral
590,2023-11-02 00:00:00,Главные новости: Apple готовится представить отчетность,"Investing.com — Американские фьючерсы ушли в «зеленую» зону, пока рынок изучает заявления главы ФРС Джерома Пауэлла после решения центрального банка США оставить процентную ставку на прежнем уровне в течение второго заседания подряд. Компания Apple (: ) готовится представить свой последний отчет за 3 месяца, и аналитики также ожидают от технологического гиганта каких-либо рекомендаций относительно торгов в течение решающего последнего квартала. Shell (LON: ) увеличила объем выкупа акций, что способствовало росту акций нефтяного концерна.Американские фондовые фьючерсы в четверг торгуются выше, пока инвесторы «переваривают» решение Федеральной резервной системы оставить процентную ставку без изменений.К 05:55 по восточному времени (09:55 по Гринвичу) контракт на Dow прибавил 102 пункта, или 0,3%, фьючерс на S&P 500 — 22 пункта, или 0,5%, а  — 107 пунктов, или 0,7%.В среду Комитет по открытому рынку ФРС США принял решение сохранить ключевую ставку по федеральным фондам на прежнем уровне в диапазоне от 5,25% до 5,50%, хотя председатель Комитета Джером Пауэлл отметил, что до снижения инфляции до целевого уровня 2% еще предстоит долгий путь.После публикации этого сообщения базовый индекс  вырос на 1,1%, а  из 30 акций и технологический Nasdaq Composite — на 0,7% и 1,6% соответственно. Европейские и азиатские рынки акций последовали за Уолл-стрит в росте, что может свидетельствовать о том, что глобальные инвесторы становятся более уверенными в том, что ФРС закончила ужесточение политики в этом году.Курс доллара снизился по отношению к корзине валют-аналогов, а цена  — крупнейшей в мире криптовалюты по рыночной стоимости — достигла максимальной отметки с мая 2022 года.Решение ФРС сохранить стоимость заимствований на более чем 20-летнем максимуме, возможно, вызвало широкий отклик на рынке, уставшем после нескольких месяцев беспрецедентного повышения ставки, однако Пауэлл в ходе внимательно отслеживаемой пресс-конференции после заседания отметил, что чиновники все еще задаются вопросом о целесообразности дальнейшего повышения ставки.Пока же он подчеркнул, что ФРС будет действовать осторожно, заявив, что в настоящее время денежно-кредитная политика находится на ограничительном уровне.Это заявление вызвало некоторые сомнения, особенно на фоне неожиданно сильных данных, которые намекнули на удивительную устойчивость американской экономики. Эта тенденция, в свою очередь, вызвала опасения, что недавнее охлаждение инфляции может сойти на нет.Однако Пауэлл сохранил уверенность в том, что инфляция продолжит замедляться, хотя и частично. В любом случае, комментарии Пауэлла указывают на то, что перед ФРС стоит непростая задача: сдерживать ценовое давление, не вызывая при этом глубокого экономического спада.Теперь внимание переключится на компанию Apple, поскольку технологический гигант готовится представить отчетность за третий квартал после закрытия торгов в четверг.Для акций производителя iPhone 2023 год пока что был позитивным. За это время акции компании выросли чуть более чем на 30%. Трейдеров успокаивают популярные продукты компании и стабильный денежный поток.Однако в четвертом финансовом квартале ожидается, что продажи компании составят $89,28 млрд, что означает падение примерно на 1% по сравнению с аналогичным периодом прошлого года и четвертое квартальное падение подряд.В качестве угрозы для последнего квартала аналитики называют возможное снижение спроса на ключевом для компании китайском рынке и слабые настроения в сфере потребительских расходов. Так, аналитики  (LON:) предупредили, что прогнозы Apple на текущий квартал, который обычно является самым крупным в связи с праздничным сезоном покупок, могут не оправдать ожиданий Уолл-стрит.Акции Shell, котирующиеся в Лондоне, подскочили в начале торгов после того, как нефтяная компания объявила об обратном выкупе акций на сумму $3,5 млрд в течение следующих 3 месяцев по сравнению с $2,7 млрд в предыдущем квартале.При этом компания оставила дивиденды на уровне $0,331 на акцию, несмотря на квартальные результаты, которые главный исполнительный директор компании Ваэль Саван в своем заявлении назвал сильными.Скорректированная прибыль Shell за третий квартал в размере $6,2 млрд соответствовала рыночным оценкам компании, хотя в годовом исчислении этот показатель был на 34% ниже. Устойчивая торговля подразделения по производству сжиженного природного газа помогла компенсировать падение цен на энергоносители и снижение производства в его интегрированном газовом подразделении«Мы продолжаем упрощать наш портфель, создавая при этом большую стоимость при меньших выбросах», — сказал Ваэль.Цены на нефть выросли в четверг, прервав трехдневное падение, после того как ФРС оставила процентную ставку на прежнем уровне, что повлияло на курс доллара и способствовало возвращению склонности к риску на финансовые рынки.К 05:55 по восточному времени фьючерс на  торговался на 1,6% выше, по $81,72 за баррель, а контракт на  поднялся на 1,4%, до $85,83 за баррель. На предыдущей сессии оба эталона установились на многонедельных минимумах, упав в октябре примерно на 10%.Рынок нефти основном торгуется без учета данных по запасам нефти в США: официальные данные Управления энергетической информации показали несколько меньший, чем ожидалось, рост запасов нефти за неделю, завершившуюся 27 октября.Запасы дистиллятов сократились меньше, чем ожидалось, в то время как запасы бензина выросли неожиданно, но незначительно. и",neutral
380,2023-11-17 00:00:00,"Банк России заявил, что не покупает бумаги госдолга США","Investing.com — Банк России не имеет казначейских обязательств США и не приобретает эти бумаги. Об этом агентству ТАСС  в пресс-службе Центробанка.«У Банка России нет казначейских обязательств США, мы эти бумаги не приобретаем. Информацию по объему вложений различных стран в эти бумаги может прокомментировать только Казначейство США», — сообщил регулятор.Сегодня утром из данных Минфина США стало известно, что Россия  объем вложений в американские гособлигации в сентябре до $73 млн. Однако в данных речь шла только про иностранных резидентов (U.S. Treasury Securities Held by Foreign Residents). и",neutral
70,2024-03-10 00:00:00,Топ-5 недели: данные по инфляции в США и взлет биткоина,"Investing.com — Февральские данные, включая потребительские цены и розничные продажи в США, дадут дополнительные сигналы о перспективах потенциального снижения ставки Федеральной резервной системой. BTC достиг рекордного максимума, а Уолл-стрит может ждать еще одна волатильная неделя. Вот что нужно знать в начале недели.Во вторник инвесторы будут следить за данными по инфляции в США, пытаясь определить, как скоро ФРС может начать снижать процентную ставку.Экономисты ожидают, что февральский индекс потребительских цен вырастет на 0,4% после более быстрого, чем ожидалось, роста на 0,3% в январе.В четверг глава ФРС Джером Пауэлл заявил, что снижение ставки, вероятно, будет уместным в какой-то момент в этом году, но дал понять, что он и его коллеги еще не готовы к этому.Наблюдатели за рынком также будут следить за выходящими в четверг данными по розничным продажам за февраль, которые, как ожидается, поднимутся на 0,8% после падения на ту же величину месяцем ранее.В экономическом календаре также представлены данные по промышленному производству, настроениям потребителей и еженедельные данные по первичным заявкам на пособие по безработице в США.На неделе у чиновников ФРС начнется традиционный период паузы в преддверии предстоящего заседания.BTC достиг нового исторического максимума выше $70 000, чему способствовал спрос инвесторов на новые американские спотовые биткоин-фонды ETF, запущенные в этом году, и ожидания снижения процентной ставки в мире.За последние несколько недель в ETF влились миллиарды долларов. Кроме того, рынок получил поддержку в преддверии ожидаемого обновления платформы блокчейна ETH, на которой размещен вторая по величине цифровая валюта — , и халвинга биткоина, который замедлит процесс его майнинга в апреле.За предыдущим бумом биткоина в 2021 году последовала «криптозима», когда банкротства и крахи крупнейших криптовалютных компаний оставили без средств к существованию миллионы инвесторов, что заставило регуляторов усилить предупреждения о рисках.Но это, похоже, не остановило новую волну притока денег. Поклонники криптовалют говорят, что индустрия стала более зрелой, но центральные банки и регуляторы по-прежнему насторожены. Теперь инвесторы задаются вопросом: насколько масштабным может стать этот процесс и изменится ли он на этот раз?Цены на нефть в пятницу закрылись на 1% ниже, а за неделю упали еще больше, поскольку рынок по-прежнему опасается низкого спроса со стороны Китая, даже несмотря на то, что группа производителей ОПЕК+ продлила сокращение поставок.Оба эталона упали за неделю:  — на 1,8%, а  — на 2,5%.На прошлой неделе Китай установил целевой показатель экономического роста на 2024 год на уровне около 5%, что, по мнению многих аналитиков, является амбициозным без дополнительных стимулов.Что касается предложения, то в минувшее воскресенье члены ОПЕК+ во главе с Саудовской Аравией и Россией договорились продлить добровольное сокращение добычи нефти на 2,2 млн баррелей в день на второй квартал, что оказало дополнительную поддержку рынку на фоне опасений по поводу глобального роста и увеличения добычи за пределами группы.Трейдеры на рынке энергоносителей также сосредоточили внимание на сроках возможного снижения ставок ФРС и ЕЦБ. Снижение процентных ставок может повысить спрос на нефть за счет ускорения экономического роста.Три основных индекса на Уолл-стрит завершили прошлую пятницу снижением: после недавнего ралли на буме искусственного интеллекта Nvidia (: ) перешла к откату.За неделю  потерял 0,26%, Nasdaq упал на 1,17%, а  — на 0,93%.Nvidia завершила пятницу снижением более чем на 5%, что стало худшим результатом за день с конца мая. Акции компании все же завершили неделю ростом более чем на 6% на фоне ралли, которое увеличило ее рыночную стоимость более чем на $1 трлн в этом году.Аналитики говорят, что инвесторы фиксируют прибыль после недавнего роста рынка.Учитывая, что предстоящих данных по инфляции, скорее всего, будет недостаточно, чтобы убедить ФРС в том, что ценовое давление охлаждается достаточно быстро, чтобы оправдать ближайшие шаги, участники рынка, вероятно, сохранят некоторую осторожность.Во вторник в Великобритании выйдет последний отчет по рабочим местам. Инвесторы и Банк Англии сосредоточатся на росте заработной платы на фоне спекуляций по поводу сроков первого снижения ставки.Средняя почасовая оплата труда в декабре замедлилась до 6,2%, что является самым медленным темпом роста за последний год, но не настолько медленным, чтобы убедить чиновников Банка Англии в том, что процентная ставка, находящаяся на 16-летнем максимуме, должна быть снижена скорее раньше, чем позже.Тем временем в еврозоне выйдут данные по промышленному производству за январь. Декабрьский отчет показал значительный рост производства, который свел на нет весь год спада. Еще одно сильное показание станет обнадеживающим знаком для роста ВВП в первом квартале.Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться .А мы дарим вам купон на дополнительную скидку 10% на двухгодовую подписку: PRO4EVERYONE.Не забудьте ввести купон в специальное поле при ! и",neutral
806,2023-07-30 00:00:00,МЧС подтвердило гибель восьми человек в палаточном лагере в Марий Эл,"МОСКВА, 30 июл -- ПРАЙМ. Число погибших в результате удара стихии на месте палаточного лагеря на озере Яльчик в Марий Эл увеличилось до восьми, пострадали 29 человек, сообщили РИА Новости в пресс-службе МЧС России.""Спасатели МЧС России продолжают работы по ликвидации последствий стихии в Республике Марий Эл. В частности на месте палаточного лагеря на озере Яльчик и подъездных путей. К сожалению, число погибших выросло до восьми, пострадало 29 человек. В медицинские учреждения госпитализированы 16 человек"", -- сказано в сообщении.Ранее региональное управление МЧС РФ сообщило, что от урагана в Марий Эл 22 человека пострадали, еще семь погибли, включая детей.Также отмечается, что в результате прохождения опасных метеорологических явлений на территории Приволжья погибли десять человек, пострадали 76.После гибели восьми человек возбуждено уголовное дело по статье о предоставлении небезопасных услуг, приведших к смерти, сообщается в телеграм-канале Следственного комитета России.По данным СК РФ, на территории палаточного лагеря обнаружены тела 7 человек, из них трое малолетних детей. Еще один человек, находясь в тяжёлом состоянии, скончался в больнице.""Следственными органами СК РФ по Республике Марий Эл возбуждено уголовное дело по факту оказания руководством ФГБУ ""Национальный парк ""Марий Чодра"" услуг, не отвечающих требованиям безопасности жизни и здоровья потребителей, причинивших по неосторожности смерть двум и более лицам (часть 3 статья 238 УК РФ)"", -- сказано в сообщении.Председатель СК РФ Александр Бастрыкин поручил руководителю СУ СК России по Республике Марий Эл Евгению Тумандейкину доложить о ходе расследования уголовного дела.",neutral
194,2024-01-26 00:00:00,Почему банки и потребители в США против новых правил кредитования?,"Investing.com — Банки в США противятся принятию правил, известных как Базель III, которые потребуют от них иметь больше резервов, что может сдержать рост экономики. А группы потребителей недовольны указанным пакетом мер из-за непредвиденных последствий для жилищного строительства и производства. И те, и другие демонстрируют солидарность друг с другом и выступают за отклонение предложения Базель III из-за опасений,  Business Insider.Банки не одобряют предлагаемое правило из страха, что оно ограничит их способность инвестировать и потребует увеличить затраты на кредитование, что нанесет ущерб их клиентам.Помимо всего прочего, это чревато замедлением экономического роста, поскольку банки могут отказаться от выдачи новых кредитов, как считает глава банка JPMorgan Джейми Даймон.Что касается недовольных потребителей, то они также предупредили в совместном письме, что сокращение доступности кредитов может подорвать экономический рост и ограничить выдачу ипотечных кредитов заемщикам с недостаточным уровнем средств.Свое недовольство правилами Базель III выразила и Национальная ассоциация производителей США, так как ужесточение требований, предъявляемым к банкам будет означать меньшую доступность капитала для любого промышленного сектора, особенно для мелких производителей.Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться .А мы дарим вам купон на дополнительную скидку 10% на двухгодовую подписку: PRO4EVERYONE.Не забудьте ввести купон в специальное поле при ! и",neutral
893,2023-07-29 00:00:00,На Крымском мосту восстановили движение автотранспорта,"МОСКВА, 29 июл -- ПРАЙМ. Движение автотранспорта по Крымскому мосту восстановлено, сообщается в телеграм-канале об оперативной обстановке на мосту.Движение было временно закрыто в пятницу в 23.34 мск. Всех находящихся на мосту и в зоне досмотра призвали сохранять спокойствие.""Движение автотранспорта по Крымскому мосту восстановлено"", -- говорится в сообщении.Киевские власти ночью 17 июля двумя надводными беспилотниками атаковали Крымский мост. СК России возбудил уголовное дело по статье ""Террористический акт"". Взрывом повредило автодорожную часть моста, пострадала девочка, а ее родители погибли. Движение поездов по мосту восстановили в тот же день, автотранспорта -- в реверсивном режиме только по крайней правой полосе направления Тамань-Керчь. Двустороннее движение по одной стороне моста планируется запустить 15 сентября, по второй -- к 1 ноября. Транспортный поток переориентирован на Керченскую паромную переправу и сухопутный коридор через новые регионы РФ.",neutral
221,2024-02-02 00:00:00,СМИ: рынок недвижимости Китая достиг «дна»,"Investing.com — Несмотря на недавнюю ликвидацию крупнейшего застройщика в стране — , что сильно подорвало доверие инвесторов к сфере недвижимости Китая, продажи земли и цены на жилье наконец-то продемонстрировали некоторое улучшение. В частности, подскочил объем торгов государственной землей впервые за 2 года, а цены росли самыми быстрыми темпами с середины 2021 года,  Business Insider.Все это дарит осторожную надежду на то, что рынок недвижимости наконец-то достиг многолетнего «дна» и начал восстанавливаться, как и цены на жилье и продажи земли.Об этом свидетельствуют данные за январь: городские цены на недвижимость выросли на 0,15% в месячном исчислении, что стало самым быстрым ростом с середины 2021 года в 49 из 100 городов, участвовавших в опросе. Также рост показали поступления в бюджет от продажи земли — на 1,8% по сравнению с предыдущим годом, причем впервые за 23 месяца.Хотя справедливости ради нужно признать, что в ряде городов спрос еще не восстановился.Все это происходит после краха инвестиций, строительства нового жилья и цен с 2022 года. Причиной краха послужили чрезмерные объемы строительства и сильная зависимость сектора от долга.Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться .А мы дарим вам купон на дополнительную скидку 10% на двухгодовую подписку: PRO4EVERYONE.Не забудьте ввести купон в специальное поле при !",neutral
280,2023-12-15 00:00:00,Главные новости: рост цен на золото и доходов Costco,"Investing.com — Американские фьючерсы выросли в пятницу, поскольку признаки «мягкой» политики Федеральной резервной системы США привели к тому, что основные индексы находятся на пути к седьмой подряд неделе роста. Квартальные результаты Costco превысили прогнозы, отчасти благодаря тому, что покупатели, сосредоточенные на экономии, стали покупать продукты и предметы первой необходимости по сниженным ценам.Американские фондовые фьючерсы выросли в пятницу, что намекает на возможное продолжение ралли акций на этой неделе, вызванное неожиданно мягким прогнозом Федеральной резервной системы.По состоянию на 05:04 по восточному времени (10:04 по Гринвичу) контракт на Dow прибавил 117 пунктов, или 0,3%, фьючерс на S&P 500 — 13 пунктов, или 0,3%, а  — 54 пункта, или 0,3%.Все основные индексы Уолл-стрит завершили предыдущую сессию в зеленом цвете, и все 3 индекса демонстрируют седьмую положительную неделю подряд. Это будет их лучшая победная серия с 2019 года. Индекс  закрылся на 0,4% в зеленом цвете после того, как завершил среду на историческом максимуме. В четверг базовый индекс S&P 500 также вырос на 0,3%, в то время как технологический  поднялся на 0,2%.Поддержку акциям оказали комментарии Федеральной резервной системы в среду, в которых говорилось о том, что центральный банк США начнет снижать процентную ставку с более чем 20-летнего максимума уже в следующем году. Более сильные, чем ожидалось, данные о розничных продажах в четверг, а также охлаждающие данные о годовой инфляции, опубликованные ранее на этой неделе, усилили надежды на то, что ФРС сможет добиться так называемой «мягкой посадки» — того сценария, при котором рост цен будет сдерживаться, не вызывая экономического краха и скачка безработицы.Цены на  выросли на европейских торгах в пятницу, продлив рост выше ключевых уровней, вызванный падением курса доллара и доходности казначейских облигаций после сигналов ФРС о том, что она снизит процентную ставку в 2024 году.Желтый металл отошел от недавних потерь на этой неделе, так как комментарии ФРС заставили рынок предположить, что в следующем году центральный банк снизит ставку как минимум 3 раза.Вероятность того, что первое из них произойдет уже в марте, составляет примерно 67%, по данным Инструмента мониторинга ставки ФРС от Investing.com. Перспектива снижения процентной ставки снижает альтернативные издержки инвестирования в золото, которое не предлагает доходности, и в основном определяется настроениями и спросом на «безопасную гавань».Доллар также демонстрирует самое большое недельное падение за последние 5 месяцев, особенно по отношению к британскому  и  после того, как центральные банки Европы заняли заметно более жесткую позицию, чем их американский коллега.Ослабление доллара помогло сделать золото менее дорогим для зарубежных покупателей, что способствовало скачку на 0,3% цен на спотовое золото — до $2 042,21 за тройскую унцию к 05:04 по восточному времени.Цены на нефть выросли в пятницу, достигнув первого недельного роста за последние 2 месяца, чему способствовал оптимизм в отношении роста спроса в следующем году, а также ослабление доллара.К 05:03 по восточному времени фьючерс на  торговался на 0,2% выше, по $71,69 за баррель, а контракт на  поднялся на 0,1%, до $76,69 за баррель.На этой неделе обе марки могут вырасти примерно на 1%, прервав серию из 7 убыточных недель подряд.Указания ФРС на то, что стоимость заимствований может быть снижена в 2024 году, усилили уверенность в том, что укрепление экономики США будет поддерживать спрос на нефть в 2024 году. Международное энергетическое агентство укрепило эту уверенность, повысив прогноз мирового спроса на нефть на следующий год, ссылаясь на улучшение перспектив спроса в США и снижение цен на нефть.Между тем падение курса доллара привело к тому, что нефть, номинированная в американской валюте, стала дешевле для иностранных покупателей.Акции Costco Wholesale (NASDAQ: ) выросли на премаркете в Нью-Йорке после того, как компания, продающая товары только для членов клуба, опубликовала данные о квартальных продажах и прибыли, которые превзошли прогнозы.Известная своими огромными складами и дешевыми товарами первой необходимости, компания Costco стремится поддерживать низкие цены, чтобы привлечь экономных покупателей, опасающихся перерасхода средств в период повышенной инфляции и роста процентной ставки. Спрос вырос на собственную торговую марку Kirkland Signature, а также на такие категории товаров повседневного спроса, как продукты питания и предметы повседневного спроса.Финансовый директор компании Ричард Галанти отметил, что расходы на товары широкого потребления, такие как телевизоры и бытовая техника, несколько улучшились по сравнению со многими конкурентами Costco. Продажи в «черную пятницу» и «киберпонедельник» также оказались лучше, чем прогнозировалось.В первом финансовом квартале Costco сообщила о прибыли на акцию в размере $3,58 и росте общей выручки на 6,1% до $57,8 млрд.Промышленное производство в Китае в ноябре выросло больше, чем прогнозировалось, хотя розничные продажи увеличились меньше, чем ожидалось, что свидетельствует о сохраняющихся проблемах, с которыми сталкиваются политики, отчаянно пытающиеся оживить рост второй по величине экономики мира.Промышленное производство выросло на 6,6% в годовом исчислении в прошлом месяце, как показали данные Национального бюро статистики в пятницу. Показатель превысил ожидания роста на 5,6% и ускорился после 4,6% в предыдущем месяце. Однако розничные продажи выросли на 10,1% в годовом исчислении, не дотянув до прогноза 12,5%.Основным фактором, повлиявшим на эти цифры, стала низкая база для сравнения, учитывая, что китайские заводы и магазины все еще борются с последними этапами закрытия предприятий в конце 2022 года.Постоянная медлительность в восстановлении Китая после пандемии беспокоит инвесторов, и недавно рейтинговое агентство Moody’s приняло решение понизить прогноз по стране и отметить потенциальное снижение ее кредитного рейтинга. Также все чаще звучат призывы к правительству Китая оказать более целенаправленную фискальную поддержку.Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться .А мы дарим вам купон на дополнительную скидку 37% на двухгодовую подписку: PRO4EVERYONE.Не забудьте ввести купон в специальное поле при !",neutral
