,date,article,text
674,2024-01-09 00:00:00,"Всемирный банк повысил прогноз роста экономики России на 2024 год до 1,3%","Investing.com — Всемирный банк представил обновленный  по росту ВВП России. Из материалов организации следует, что в 2024 году российская экономика вырастет на 1,3%, а не на 1,2%, как указывалось в июньском прогнозе ВБ. Прогноз роста экономики России на 2025 год также повышен на 0,1 п. п. по сравнению с предыдущей оценкой, до 0,9%. В 2023 году российская экономика, по оценке Всемирного банка, выросла на 2,6%,  «Коммерсантъ».Прогноз по развитию экономики Украины остается сильно неопределенным, отмечается в докладе ВБ. Это объясняется тем, что военный конфликт, вероятнее всего, продлится до конца 2024 года. Рост ВВП Украины, по оценке экономистов, в 2024 году составит 3,2%. В 2025 году Всемирный банк ожидает роста украинской экономики на 6,5%. За 2023 год украинская экономика выросла на 4,8%.Прогноз по росту экономики еврозоны в 2024 году Всемирный банк снизил с 1,3% до 0,7% в 2024-м и с 2,3% до 1,6% в 2025 году. В 2023 году рост европейской экономики, по оценке экономистов, составил всего 0,4%.Рост экономики США в 2024 году составит 1,6% (против 0,8% в июньском докладе), в 2025-м — 1,7% (против 2,3%). Рост экономики Китая, по оценке Всемирного банка, в текущем году составит 4,5% (против 4,6%), в 2025 году — 4,3% (против 4,4%).Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться .А мы дарим вам купон на дополнительную скидку 37% на двухгодовую подписку: RUTRADERS4EVER.Не забудьте ввести купон в специальное поле при ! и"
474,2023-10-17 00:00:00,США планируют ограничить продажу созданных для Китая чипов Nvidia,"Investing.com — США ограничат продажу Китаю чипов , которые предназначались для китайского рынка,  Bloomberg со ссылкой на высокопоставленного американского чиновника, имя которого не называется.Речь идет о процессорах Nvidia A800 и H800: они были созданы для экспорта в Китай после того, как США ввели ограничения на поставку полупроводников в Китай в 2022 году. Министерство торговли США обновило условия экспортного контроля, чтобы помешать Китаю получить доступ к передовым технологиям для использования в военных целях, отмечает Bloomberg.Новые правила обязывают компании уведомлять правительство США о намерении продать чипы стоимостью ниже установленного порога. Передовые чипы лучше всего подходят для использования в моделях искусственного интеллекта, но при наличии большой суммы денег и некоторых манипуляций целый класс уступающих в продвинутости чипов может быть использован для ИИ и суперкомпьютеров, а значит, представлять угрозу национальной безопасности США, объяснил Bloomberg высокопоставленный чиновник. Уведомления компаний о лицензии на продажу чипов в Китай будут рассматриваться в течение 25 дней, добавил собеседник агентства. Какие именно чипы затронет эта мера, он не уточнил. и"
236,2024-01-17 00:00:00,Отказ турецких банков от работы с РФ: новости к утру 17 января,"Investing.com — Турецкие банки начали массово отказываться от работы с российскими, а Apple обошла Samsung и стала крупнейшим мировым производителем смартфонов — эти и другие важные новости к утру среды, 17 января, в нашем ежедневном обзоре.Турецкие банки отказываются сотрудничать с российскими из опасения санкций,  «Коммерсантъ» со ссылкой на источники на финансовом рынке и участников внешней торговли. Турецкие финорганизации разрывают корреспондентские отношения и приостанавливают обработку платежей без формального закрытия договора. Один из источников издания отметил, что трудности присутствуют уже долгое время, но в конце 2023 года ситуация значительно обострилась и распространилась почти на все банки Турции. обошла  по объему производства смартфонов и заняла первое место на соответствующем рынке в 2023 году, следует из  исследовательской группы IDC. До этого Samsung удерживал лидерство на протяжении 12 лет, с 2010 года. По данным IDC, Apple в прошлом году стал единственным крупным производителем смартфонов, который продемонстрировал годовой прирост по количеству произведенных устройств. В 2023 году объем поставок компании увеличился на 3,7%, до 234,6 млн штук. Доля мирового рынка у Apple по итогам прошедшего года составила 20,1%, у Samsung —19,4%. Южнокорейская компания поставила 226,6 млн смартфонов в 2023 году.Британская нефтегазовая компания  приняла решение о приостановке всех перевозок через Красное море на неопределенный срок,  The Wall Street Journal со ссылкой на источники. Это произошло на фоне опасений дальнейшей эскалации конфликта после ударов США и Великобритании по йеменским хуситам, отмечает издание. По данным WSJ, в декабре танкер, зафрахтованный компанией Shell для перевозки топлива, был атакован с помощью беспилотника в Красном море и подвергся преследованию со стороны хуситов.Создатель ChatGPT — компания OpenAI — сняла полный запрет на использование своих инструментов искусственного интеллекта (ИИ) военными,  CNBC со ссылкой на коррективы, внесенные в политику стартапа. Обновления были внесены 10 января. 17 января на Всемирном экономическом форуме в Давосе вице-президент OpenAI по глобальным вопросам Анна Маканджу в интервью Bloomberg House сообщила о начале работы стартапа с Минобороны США. опубликовал сокращенные финансовые результаты по российским стандартам бухгалтерского учета (РСБУ) за 2023 год. Чистая прибыль кредитной организации выросла до 1,493 трлн руб. «Сегодня мы подводим предварительные итоги ПАО Сбербанк за 2023 год. Мы заработали рекордную чистую прибыль в размере 1 493 млрд руб. и обеспечили рентабельность капитала на уровне 24,7%», — говорится в  главы банка Германа Грефа.Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться .А мы дарим вам купон на дополнительную скидку 37% на двухгодовую подписку: RUTRADERS4EVER.Не забудьте ввести купон в специальное поле при ! и"
374,2023-11-16 00:00:00,Главные новости: возобновление контактов между США и Китаем,"Investing.com — В четверг после позитивной сессии на Уолл-стрит американские фондовые фьючерсы в целом снизились, пока трейдеры ожидают прогноза розничной сети  на сезон праздничных покупок. В то же время президент США Джо Байден и лидер Китая Си Цзиньпин договорились возобновить военные контакты после встречи с глазу на глаз, а Сенат США одобрил законопроект о сокращении расходов, который почти наверняка предотвратит надвигающееся частичное закрытие правительства.Американские фондовые фьючерсы в четверг снизились, но остаются относительно недалеко от флэта после позитивного закрытия предыдущей сессии.К 05:00 по восточному времени (10:00 по Гринвичу) контракт на Dow практически не изменился, фьючерс на S&P 500 потерял 3 пункта или 0,1%, а  — 31 пункт или 0,2%.Основные индексы на Уолл-стрит завершили среду в зеленом цвете, чему отчасти способствовало крупнейшее с 2020 года падение цен на оптовые товары в октябре. Этот показатель, вышедший на следующий день после данных о том, что потребительские цены в прошлом месяце росли медленнее, чем ожидалось, усилил оптимизм в отношении того, что многолетняя кампания повышения процентной ставки Федеральной резервной системой США, возможно, достигла своего пика.К моменту закрытия торгов индекс  вырос на 0,5%, базовый индекс S&P 500 — на 0,2%, а Nasdaq Composite — на 0,1%.В четверг компания Walmart представит свои последние квартальные результаты, и инвесторы заинтересованы в получении более подробной информации о том, как, по мнению гиганта розничной торговли, развивается торговля в преддверии ключевого сезона праздничных покупок.Согласно консенсус-оценке Bloomberg, общий объем сопоставимых продаж в США без учета бензина в третьем квартале увеличился на 3,35%, а скорректированная прибыль на акцию составит $1,52.При этом в текущем квартале компания прогнозирует скорректированную прибыль на акцию в размере $1,66 по сравнению с $1,53 в соответствующем периоде прошлого года. Аналитики, вероятно, захотят услышать от руководителей Walmart более подробную информацию о перспективах на праздники, особенно после того, как в среду конкуренты Target в своих комментариях указали на сохраняющееся давление на американских потребителей со стороны таких тенденций, как повышение процентной ставки и снижение уровня сбережений, несмотря на признаки ослабления инфляции.В отличие от некоторых своих конкурентов, Walmart смогла пережить спад расходов потребителей на крупные товары, опираясь на репутацию компании, предлагающей низкие цены на товары первой необходимости, такие как продовольствие. Во втором квартале объем продаж в магазинах в США вырос на 6,4%, превысив ожидания, а международное подразделение компании показало лучшие квартальные результаты, по крайней мере, с 2016 года.Президент США Джо Байден и его китайский коллега Си Цзиньпин договорились о восстановлении военных связей по итогам состоявшейся в среду личной встречи.Беседа двух лидеров продолжалась около 4 часов, и это в то время, когда сохраняется высокая напряженность между обеими странами по целому ряду вопросов. Это была всего лишь вторая личная встреча Байдена с Си с момента его вступления в должность в 2021 году.После встречи Байден заявил, что Китай согласился вернуться к прямому, открытому, ясному общению, которое было прекращено после визита бывшего спикера Палаты представителей Нэнси Пелоси на Тайвань в 2022 году. Американские официальные лица высказывают предположения о том, когда Китай может предпринять попытку вторжения на Тайвань, хотя Си, по сообщениям, отрицал наличие таких планов.Однако, как сообщил агентству Reuters высокопоставленный американский чиновник, Си сказал, что статус острова является наиболее потенциально опасным вопросом, стоящим перед американо-китайскими отношениями. Байден подчеркнул Си, что Вашингтон хочет видеть мир и стабильность в регионе, добавляет Reuters со ссылкой на чиновника.Позже в среду Си заявил в зале, где собрались ведущие американские бизнес-лидеры, в том числе глава Tesla (: ) Илон Маск и глава Apple (NASDAQ: ) Тим Кук, что Китай и его крупнейшая экономика готовы быть партнером и другом США.Сенат США проголосовал за принятие временного плана, который позволит избежать частичного закрытия правительства.После того как верхняя палата Конгресса США проголосовала в соотношении 87-11 голосами, план, принятый Палатой представителей ранее на этой неделе, теперь направится на подпись президенту Байдену.Лидер сенатского большинства Чак Шумер назвал итоги переговоров по краткосрочному бюджетному предложению отличным результатом для американского народа, который позволит избежать сокращений жизненно важных федеральных программ.Законопроект получил широкую поддержку как со стороны законодателей-демократов, так и со стороны законодателей-республиканцев, что свидетельствует об отказе от политического противостояния, характерного для последних дебатов по поводу планов государственных расходов. Однако пока неясно, будет ли достигнутая разрядка проявляться и при наступлении нового срока финансирования в начале следующего года.Политические баталии усугубили опасения Уолл-стрит по поводу финансового положения Америки: на прошлой неделе агентство Moody’s (NYSE: ) назвало поляризацию в Вашингтоне одной из причин своего решения понизить прогноз кредитного рейтинга США со «стабильного» до «негативного».Цены на нефть снизились в четверг после того, как запасы нефти в США выросли больше, чем ожидалось, что усилило опасения по поводу низкого спроса на энергоносители со стороны Китая.К 05:01 по восточному времени фьючерс на  торговался на 0,2% ниже, по $76,53 за баррель, а контракт на  упал на 0,4%, до $80,88 за баррель.Запасы сырой нефти в США за неделю, завершившуюся 10 ноября, увеличились на 3,6 млн баррелей, что превысило ожидания роста запасов почти на 1,8 млн баррелей, согласно данным Управления энергетической информации США, опубликованным в среду.Данные также свидетельствуют о том, что объем добычи нефти в США по итогам недели остался на рекордно высоком уровне — 13,2 млн баррелей в день. и"
257,2024-01-23 00:00:00,Bloomberg: Китай направит 2 трлн юаней на стабилизацию фондового рынка,"Investing.com — Власти Китая рассматривают возможность направить около 2 трлн юаней ($278 млрд), в основном с офшорных счетов китайских государственных предприятий, на приобретение китайских акций на бирже в Гонконге,  Bloomberg со ссылкой на источники, знакомые с ситуацией.Таким образом Пекин планирует стабилизировать падающий фондовый рынок Китая, пишет Bloomberg. Кроме того, китайские власти выделили как минимум 300 млрд юаней ($42,3 млрд) из местных фондов для инвестирования в акции материкового Китая через государственную компанию China Securities Finance или суверенный фонд Central Huijin Investment, утверждают источники. По их словам, китайские чиновники рассматривают и другие варианты, о них может быть объявлено на этой неделе. Пекин как минимум с октября рассматривает создание поддерживаемого властями стабилизационного фонда, пишет Bloomberg. При этом инвесторы сомневаются в его эффективности, поскольку предыдущие усилия китайских властей по спасению экономики не всегда срабатывали, отмечает агентство.Потенциальный пакет поддержки должен быть в состоянии остановить спад в краткосрочной перспективе и стабилизировать рынки к Лунному Новому году (отмечается 10 февраля), отметил стратег Bloomberg Intelligence Марвин Чен. При этом он напомнил, что сами по себе госзакупки исторически приводили к ограниченному успеху в изменении настроения рынков, если после этого не следовали дальнейшие меры.Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться .А мы дарим вам купон на дополнительную скидку 10% на двухгодовую подписку: RUTRADERS4EVER.Не забудьте ввести купон в специальное поле при ! и"
737,2023-08-16 00:00:00,Йеллен предупредила о побочных эффектах спада в Китае,"Investing.com — Министр финансов США Джанет Йеллен заявила, что экономические трудности в Китае несут также риск для самих США,  Business Insider.«Замедление экономики Китая окажет наибольшее влияние на его азиатских соседей, также будут некоторые последствия для США, — заявила Йеллен. — Тем не менее, я очень хорошо отношусь к перспективам США в целом».Для оптимизма есть причины: рынок труда в стране остается сильным, инфляция неуклонно снижается после 11 повышений процентной ставки ФРС.Что касается самих американцев, то тут далеко не все так однозначно: многие испытывают пессимизм в отношении экономики, хотя, по словам министра, на индивидуальной основе многие люди воспринимают ситуацию лучше.«Когда американцев спрашивают об их личном финансовом положении, 70% или более говорят, что чувствуют себя очень хорошо, — сказала Йеллен. — Когда их спрашивают об экономике в целом, у них более пессимистичные взгляды».Напомним: недавно президент США Джо Байден сделал замечания о том, что экономика Китая представляет собой «бомбу замедленного действия», учитывая ее рост и демографические проблемы. и"
89,2024-04-04 00:00:00,Призыв Китая к ЕС отказаться от конфискации активов РФ: новости к утру 4 апреля,"Investing.com — Китай призвал ЕС отказаться от конфискации активов России, а Bloomberg узнал о домашней робототехнике Apple как возможной замене электромобилю — эти и другие важные новости к утру четверга, 4 апреля, в нашем ежедневном обзоре.Представители Китая, Саудовской Аравии и Индонезии в частном порядке просят ЕС отказаться от конфискации российских государственных активов на сумму более €200 млрд,  Politico со ссылкой на четырех неназванных чиновников. По словам одного из собеседников издания, эти страны боятся «создания прецедента»: «Иными словами, эти страны будут бояться, что они могут оказаться следующими, кто проиграет», — пишет Politico. может сделать приоритетом своих разработок домашнюю робототехнику после того, как компания свернула направление по созданию электромобилей. Об этом  Bloomberg со ссылкой на собеседников в компании. По их словам, команды Apple уже работают на автоматизированными домашними устройствами, включая проекты по созданию персональных роботов-помощников. Роботы для дома могут стать «следующим крупным проектом» компании, список которые постоянно меняется, сказали источники агентства.В феврале ВВП России вырос на 7,7% в годовом выражении после роста на 4,6% в январе,  из справки о текущей экономической ситуации, подготовленной Минэкономразвития. По данным ведомства, к 2022 году рост составил 4,7% и 2% в феврале и январе соответственно.Объем финансирования «дорожной карты» по созданию отечественного оборудования для СПГ-проектов, которая ляжет в основу соглашения о намерениях между правительством и , составит 24,3 млрд руб., сообщил Хаджимурат Саадулаев, начальник отдела развития нефтегазового оборудования Минпромторга. Об этом  РБК.Курс  вырос на 0,36% или 36 копеек, поднявшись до отметки 100,205 руб., свидетельствуют данные Московской биржи по состоянию на 07:01 МСК. Выше 100 руб. европейская валюта (EUR/RUB) торгуется впервые с начала апреля, в предыдущий раз так высоко курс евро поднимался 28 марта.Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться .А мы дарим вам купон на дополнительную скидку 10% на годовую подписку: RUTRADERS4EVER.Не забудьте ввести купон в специальное поле при ! и"
134,2024-04-10 00:00:00,JPMorgan пересмотрел свой прогноз по рецессии в США,"Investing.com — Инвестиционный банк  изменил свой прогноз по рецессии в первой половине 2024 года и теперь оценивает вероятность «мягкой посадки» на 55% с 30%-ной вероятностью продолжения глобального экономического роста без существенного смягчения монетарной политики,  Business Insider.На такое изменение прогноза повлияли неожиданные позитивные изменения, связанные с торговыми балансами, показателями предложения в США и глобальными финансовыми условиями.Если ранее банк указывал на главную свою озабоченность — высокая процентная ставка, удерживаемая более длительный срок, будут сдерживать рост частного сектора, повышать затраты на обслуживание долга и дополнительно тормозить расширение роста, то теперь глава банка Джейми Даймон указывает на то, что ФРС следует воздержаться от снижения ставки ради укрепления доверия.Вышедшие недавно оптимистичные данные рисуют более радужную картину, и потому существует 55%-ная вероятность того, что «мягкая посадка» экономики продлится как минимум до конца следующего года.Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться .А мы дарим вам купон на дополнительную скидку 10% на годовую подписку: PRO4EVERYONE.Не забудьте ввести купон в специальное поле при ! и"
854,2023-07-29 00:00:00,"В Киеве раскрыли, какое стратегическое поражение Путин нанес Зеленскому","МОСКВА, 29 июл -- ПРАЙМ. Украина оказалась не готова к стратегическому поражению от российских военных, утратив доступ к Черному морю. С таким заявлением выступил в своем блоге на видеосервисе YouTube экс-советник первого президента Украины Леонида Кучмы Олег Соскин.""Черное море полностью заблокировано, все"", -- констатировал он и добавил, что украинские политики больше не могут ничего с этим сделать.По мнению политолога, Украине перекрыли доступ к Черному морю. Это стало для президента страны Владимира Зеленского новым тяжелым стратегическим поражением.Очередная неудача вновь показала всему миру, в том числе и западным партнерам, неспособность Зеленского как-либо изменить ситуацию для своей страны. По мнению советника Кучмы, отставка Зеленского с поста президента стала бы спасением для Украины.""Зеленский стратегически проиграл все схватки"", -- резюмировал политолог.После совершенного в ночь на 17 июля текущего года теракта на Крымском мосту российские военные наносят удары возмездия по расположенным недалеко от Одессы, Ильичевска и Николаева территориям. Там расположены производственные мощности украинских катеров-дронов, а также площадки для их хранения."
98,2024-02-20 00:00:00,Goldman повысил рейтинг мировых акций до «выше среднерыночного»,"Investing.com — Инвестиционный банк  повысил рейтинг мировых акций до «выше среднерыночного» благодаря многообещающим перспективам экономического роста и восстановления производственной активности,  Bloomberg.Благодаря признакам роста глобальной производственной активности, в том числе в США, и корпоративной прибыли, судя по отчетам за квартал и поступающим экономическим данным, крупнейшие центральные банки определяют траекторию снижения процентной ставки в этом году. В связи с этим аналитики Goldman видят в экономическом росте залог возрождения аппетита к риску, тогда как корреляция между акциями и облигациями в этом году будет более негативной.Исторически циклы смягчения денежно-кредитной политики оказывали поддержку рискованным активам, но в этом году рынок заранее оценил большую часть снижения ставки.На сегодня вероятность того, что Федеральная резервная система США снизит процентную ставку на 25 базисных пунктов в июне, составляет около 51,3%. Однако банк предупредил, что потенциал глобального роста остается относительно приглушенным из-за ограниченных возможностей для улучшения рентабельности. и"
